#code|abbreviation|type|name|unit|scale|reference|width|crex_unit|crex_scale|crex_width
000001|tableAEntry|string|TABLE A: ENTRY|CCITTIA5|0|0|24|CHARACTER|0|3
000002|tableALine1|string|TABLE A: DATA CATEGORY DESCRIPTION, LINE 1|CCITTIA5|0|0|256|CHARACTER|0|32
000003|tableALine2|string|TABLE A: DATA CATEGORY DESCRIPTION, LINE 2|CCITTIA5|0|0|256|CHARACTER|0|32
000004|masterTable|string|BUFR/CREX MASTER TABLE|CCITTIA5|0|0|16|CHARACTER|0|2
000005|editionNumber|string|BUFR/CREX EDITION NUMBER|CCITTIA5|0|0|24|CHARACTER|0|3
000006|bufrMasterTableVersionNumber|string|BUFR MASTER TABLE VERSION NUMBER|CCITTIA5|0|0|16|CHARACTER|0|2
000007|crexMasterTableVersionNumber|string|CREX MASTER TABLE VERSION NUMBER|CCITTIA5|0|0|16|CHARACTER|0|2
000008|bufrLocalTableVersionNumber|string|BUFR LOCAL TABLE VERSION NUMBER|CCITTIA5|0|0|16|CHARACTER|0|2
000010|fDescriptorToBeAddedOrDefined|string|F DESCRIPTOR TO BE ADDED OR DEFINED|CCITTIA5|0|0|8|CHARACTER|0|1
000011|xDescriptorToBeAddedOrDefined|string|X DESCRIPTOR TO BE ADDED OR DEFINED|CCITTIA5|0|0|16|CHARACTER|0|2
000012|yDescriptorToBeAddedOrDefined|string|Y DESCRIPTOR TO BE ADDED OR DEFINED|CCITTIA5|0|0|24|CHARACTER|0|3
000013|elementNameLine1|string|ELEMENT NAME, LINE 1|CCITTIA5|0|0|256|CHARACTER|0|32
000014|elementNameLine2|string|ELEMENT NAME, LINE 2|CCITTIA5|0|0|256|CHARACTER|0|32
000015|unitsName|string|UNITS NAME|CCITTIA5|0|0|192|CHARACTER|0|24
000016|unitsScaleSign|string|UNITS SCALE SIGN|CCITTIA5|0|0|8|CHARACTER|0|1
000017|unitsScale|string|UNITS SCALE|CCITTIA5|0|0|24|CHARACTER|0|3
000018|unitsReferenceSign|string|UNITS REFERENCE SIGN|CCITTIA5|0|0|8|CHARACTER|0|1
000019|unitsReferenceValue|string|UNITS REFERENCE VALUE|CCITTIA5|0|0|80|CHARACTER|0|10
000020|elementDataWidth|string|ELEMENT DATA WIDTH|CCITTIA5|0|0|24|CHARACTER|0|3
000024|codeFigure|string|CODE FIGURE|CCITTIA5|0|0|64|CHARACTER|0|8
000025|codeFigureMeaning|string|CODE FIGURE MEANING|CCITTIA5|0|0|496|CHARACTER|0|62
000026|bitNumber|string|BIT NUMBER|CCITTIA5|0|0|16|CHARACTER|0|2
000027|bitNumberMeaning|string|BIT NUMBER MEANING|CCITTIA5|0|0|496|CHARACTER|0|62
000030|descriptorDefiningSequence|string|DESCRIPTOR DEFINING SEQUENCE|CCITTIA5|0|0|48|CHARACTER|0|6
001001|blockNumber|long|WMO BLOCK NUMBER|NUMERIC|0|0|7|NUMERIC|0|2
001002|stationNumber|long|WMO STATION NUMBER|NUMERIC|0|0|10|NUMERIC|0|3
001003|regionNumber|long|WMO REGION NUMBER/GEOGRAPHICAL AREA|CODETABLE|0|0|3|CODE TABLE|0|1
001004|wmoRegionSubArea|long|WMO REGION SUB-AREA|NUMERIC|0|0|3|NUMERIC|0|1
001005|buoyOrPlatformIdentifier|long|BUOY/PLATFORM IDENTIFIER|NUMERIC|0|0|17|NUMERIC|0|5
001006|aircraftFlightNumber|string|AIRCRAFT FLIGHT NUMBER|CCITTIA5|0|0|64|CHARACTER|0|8
001007|satelliteIdentifier|long|SATELLITE IDENTIFIER|CODETABLE|0|0|10|CODE TABLE|0|4
001008|aircraftRegistrationNumberOrOtherIdentification|string|AIRCRAFT REGISTRATION NUMBER OR OTHER IDENTIFICATION|CCITTIA5|0|0|64|CHARACTER|0|8
001009|typeOfCommercialAircraft|string|TYPE OF COMMERCIAL AIRCRAFT|CCITTIA5|0|0|64|CHARACTER|0|8
001010|stationaryBuoyPlatformIdentifierEGCManBuoys|string|STATIONARY BUOY PLATFORM IDENTIFIER; E.G. C-MAN BUOYS|CCITTIA5|0|0|64|CHARACTER|0|8
001011|shipOrMobileLandStationIdentifier|string|SHIP OR MOBILE LAND STATION IDENTIFIER|CCITTIA5|0|0|72|CHARACTER|0|9
001012|directionOfMotionOfMovingObservingPlatform|long|DIRECTION OF MOTION OF MOVING OBSERVING PLATFORM (DEGREE TRUE)|DEG|0|0|9|DEG|0|3
001013|movingObservingPlatformSpeed|long|SPEED OF MOTION OF MOVING OBSERVING PLATFORM|M/S|0|0|10|M/S|0|3
001014|platformDriftSpeed|double|PLATFORM DRIFT SPEED (HIGH PRECISION)|M/S|2|0|10|M/S|2|4
001015|stationOrSiteName|string|STATION OR SITE NAME|CCITTIA5|0|0|160|CHARACTER|0|20
001018|shortStationName|string|SHORT STATION OR SITE NAME|CCITTIA5|0|0|40|CHARACTER|0|5
001019|longStationName|string|LONG STATION OR SITE NAME|CCITTIA5|0|0|256|CHARACTER|0|32
001020|wmoRegionSubArea|long|WMO REGION SUB-AREA|NUMERIC|0|0|4|NUMERIC|0|2
001021|synopticFeatureIdentifier|long|SYNOPTIC FEATURE IDENTIFIER|NUMERIC|0|0|14|NUMERIC|0|4
001022|featureName|string|NAME OF FEATURE|CCITTIA5|0|0|224|CHARACTER|0|28
001023|observationSequenceNumber|long|OBSERVATION SEQUENCE NUMBER|NUMERIC|0|0|9|NUMERIC|0|3
001024|windSpeedSource|long|WIND SPEED SOURCE|CODETABLE|0|0|5|CODE TABLE|0|2
001025|stormIdentifier|string|STORM IDENTIFIER|CCITTIA5|0|0|24|CHARACTER|0|3
001026|stormName|string|WMO STORM NAME|CCITTIA5|0|0|64|CHARACTER|0|8
001027|longStormName|string|WMO LONG STORM NAME|CCITTIA5|0|0|80|CHARACTER|0|10
001028|aerosolOpticalDepthSource|long|AEROSOL OPTICAL DEPTH (AOD) SOURCE|CODETABLE|0|0|5|CODE TABLE|0|2
001029|ssiSource|long|SSI SOURCE|CODETABLE|0|0|5|CODE TABLE|0|2
001030|numericalModelIdentifier|string|NUMERICAL MODEL IDENTIFIER|CCITTIA5|0|0|128|CHARACTER|0|16
001031|centre|long|IDENTIFICATION OF ORIGINATING/GENERATING CENTRE|CODETABLE|0|0|16|CODE TABLE|0|5
001032|generatingApplication|long|GENERATING APPLICATION|CODETABLEDEFINEDBYORIGINATING/GENERATINGCENTRE|0|0|8|CODE TABLE|0|3
001033|centre|long|IDENTIFICATION OF ORIGINATING/GENERATING CENTRE|COMMONCODETABLEC-1|0|0|8|COMMON CODE TABLE C-1|0|3
001034|subCentre|long|IDENTIFICATION OF ORIGINATING/GENERATING SUB-CENTRE|COMMONCODETABLEC-12|0|0|8|COMMON CODE TABLE C-12|0|3
001035|centre|long|ORIGINATING CENTRE|COMMONCODETABLEC-11|0|0|16|COMMON CODE TABLE C-11|0|5
001036|agencyInChargeOfOperatingObservingPlatform|long|AGENCY IN CHARGE OF OPERATING THE OBSERVING PLATFORM|CODETABLE|0|0|20|CODE TABLE|0|7
001037|sigmetSequenceIdentifier|string|SIGMET SEQUENCE IDENTIFIER|CCITTIA5|0|0|24|CHARACTER|0|3
001038|sourceOfSeaIceFraction|long|SOURCE OF SEA ICE FRACTION|CODETABLE|0|0|5|CODE TABLE|0|2
001039|graphicalAreaForecastGfaSequenceIdentifier|string|GRAPHICAL AREA FORECAST (GFA) SEQUENCE IDENTIFIER|CCITTIA5|0|0|40|CHARACTER|0|5
001041|absolutePlatformVelocityFirstComponent|double|ABSOLUTE PLATFORM VELOCITY - FIRST COMPONENT|M/S|5|-1073741824|31|M/S|5|10
001042|absolutePlatformVelocitySecondComponent|double|ABSOLUTE PLATFORM VELOCITY - SECOND COMPONENT|M/S|5|-1073741824|31|M/S|5|10
001043|absolutePlatformVelocityThirdComponent|double|ABSOLUTE PLATFORM VELOCITY - THIRD COMPONENT|M/S|5|-1073741824|31|M/S|5|10
001050|platformTransmitterIdNumber|long|PLATFORM TRANSMITTER ID NUMBER|NUMERIC|0|0|17|NUMERIC|0|6
001051|platformTransmitterIdNumber|string|PLATFORM TRANSMITTER ID NUMBER|CCITTIA5|0|0|96|CHARACTER|0|12
001052|platformTransmitterId|long|PLATFORM TRANSMITTER ID|CODETABLE|0|0|3|CODE TABLE|0|1
001053|tsunameterReportSequenceNumberTriggeredByATsunamiEvent|long|TSUNAMETER REPORT SEQUENCE NUMBER TRIGGERED BY A TSUNAMI EVENT|NUMERIC|0|0|7|NUMERIC|0|2
001060|aircraftReportingPointBeaconIdentifier|string|AIRCRAFT REPORTING POINT (BEACON IDENTIFIER)|CCITTIA5|0|0|64|CHARACTER|0|8
001062|shortIcaoLocationIndicator|string|SHORT ICAO LOCATION INDICATOR|CCITTIA5|0|0|32|CHARACTER|0|4
001063|icaoLocationIndicator|string|ICAO LOCATION INDICATOR|CCITTIA5|0|0|64|CHARACTER|0|8
001064|runwayDesignator|string|RUNWAY DESIGNATOR|CCITTIA5|0|0|32|CHARACTER|0|4
001065|icaoRegionIdentifier|string|ICAO REGION IDENTIFIER|CCITTIA5|0|0|256|CHARACTER|0|32
001075|tideStationIdentification|string|TIDE STATION IDENTIFICATION|CCITTIA5|0|0|40|CHARACTER|0|5
001080|shipLineNumberAccordingToSoop|string|SHIP LINE NUMBER ACCORDING TO SOOP|CCITTIA5|0|0|32|CHARACTER|0|4
001081|radiosondeSerialNumber|string|RADIOSONDE SERIAL NUMBER|CCITTIA5|0|0|160|CHARACTER|0|20
001082|radiosondeAscensionNumber|long|RADIOSONDE ASCENSION NUMBER|NUMERIC|0|0|14|NUMERIC|0|4
001083|radiosondeReleaseNumber|long|RADIOSONDE RELEASE NUMBER|NUMERIC|0|0|3|NUMERIC|0|1
001085|observingPlatformManufacturerModel|string|OBSERVING PLATFORM MANUFACTURER'S MODEL|CCITTIA5|0|0|160|CHARACTER|0|20
001086|observingPlatformManufacturerSSerialNumber|string|OBSERVING PLATFORM MANUFACTURER'S SERIAL NUMBER|CCITTIA5|0|0|256|CHARACTER|0|32
001087|marineObservingPlatformIdentifier|long|WMO MARINE OBSERVING PLATFORM EXTENDED IDENTIFIER|NUMERIC|0|0|23|NUMERIC|0|7
001090|techniqueForMakingUpInitialPerturbations|long|TECHNIQUE FOR MAKING UP INITIAL PERTURBATIONS|CODETABLE|0|0|8|CODE TABLE|0|3
001091|ensembleMemberNumber|long|ENSEMBLE MEMBER NUMBER|NUMERIC|0|0|10|NUMERIC|0|4
001092|typeOfEnsembleForecast|long|TYPE OF ENSEMBLE FORECAST|CODETABLE|0|0|8|CODE TABLE|0|3
001093|balloonLotNumber|string|BALLOON LOT NUMBER|CCITTIA5|0|0|96|CHARACTER|0|12
001094|wbanNumber|long|WBAN NUMBER|NUMERIC|0|0|17|NUMERIC|0|5
001095|observerIdentification|string|OBSERVER IDENTIFICATION|CCITTIA5|0|0|32|CHARACTER|0|4
001096|stationAcquisition|string|STATION ACQUISITION|CCITTIA5|0|0|160|CHARACTER|0|20
001097|starCatalogNumber|long|STAR CATALOG NUMBER|NUMERIC|0|0|13|NUMERIC|0|4
001098|typeOfProduct|long|TYPE OF PRODUCT|CODETABLE|0|0|12|CODE TABLE|0|4
001099|uniqueProductDefinition|string|UNIQUE PRODUCT DEFINITION|CCITTIA5|0|0|248|CHARACTER|0|31
001101|stateIdentifier|long|STATE IDENTIFIER|CODETABLE|0|0|10|CODE TABLE|0|3
001102|stationNumber|long|NATIONAL STATION NUMBER|NUMERIC|0|0|30|NUMERIC|0|9
001103|imoNumberUniqueLloydsRegistry|long|IMO NUMBER. UNIQUE LLOYD'S REGISTRY|NUMERIC|0|0|14|NUMERIC|0|5
001110|aircraftTailNumber|string|AIRCRAFT TAIL NUMBER|CCITTIA5|0|0|48|CHARACTER|0|6
001111|originationAirport|string|ORIGINATION AIRPORT|CCITTIA5|0|0|24|CHARACTER|0|3
001112|destinationAirport|string|DESTINATION AIRPORT|CCITTIA5|0|0|24|CHARACTER|0|3
001113|templateVersionNumberDefinedByOriginatingCentre|long|TEMPLATE VERSION NUMBER DEFINED BY ORIGINATING CENTRE|NUMERIC|1|0|9|NUMERIC|1|3
001124|gridPointIdentifier|long|GRID POINT IDENTIFIER|NUMERIC|0|0|24|NUMERIC|0|8
001144|snapshotIdentifier|long|SNAPSHOT IDENTIFIER|NUMERIC|0|0|31|NUMERIC|0|10
002001|typeOfStation|long|TYPE OF STATION|CODETABLE|0|0|2|CODE TABLE|0|1
002002|instrumentationForWindMeasurement|long|TYPE OF INSTRUMENTATION FOR WIND MEASUREMENT|FLAGTABLE|0|0|4|FLAG TABLE|0|2
002003|typeOfMeasuringEquipmentUsed|long|TYPE OF MEASURING EQUIPMENT USED|CODETABLE|0|0|4|CODE TABLE|0|2
002004|typeOfInstrumentationForEvaporationMeasurement|long|TYPE OF INSTRUMENTATION FOR EVAPORATION MEASUREMENT OR TYPE OF CROP FOR WHICH EVAPOTRANSPIRATION IS REPORTED|CODETABLE|0|0|4|CODE TABLE|0|2
002005|temperatureObservationPrecision|double|PRECISION OF TEMPERATURE OBSERVATION|K|2|0|7|K|2|3
002007|typeOfSensorForWaterLevelMeasuringInstrument|long|TYPE OF SENSOR FOR WATER LEVEL MEASURING INSTRUMENT|CODETABLE|0|0|4|CODE TABLE|0|2
002011|radiosondeType|long|RADIOSONDE TYPE|CODETABLE|0|0|8|CODE TABLE|0|3
002012|radiosondeComputationalMethod|long|RADIOSONDE COMPUTATIONAL METHOD|CODETABLE|0|0|4|CODE TABLE|0|2
002013|solarAndInfraredRadiationCorrection|long|SOLAR AND INFRARED RADIATION CORRECTION|CODETABLE|0|0|4|CODE TABLE|0|2
002014|trackingTechniqueOrStatusOfSystemUsed|long|TRACKING TECHNIQUE/STATUS OF SYSTEM USED|CODETABLE|0|0|7|CODE TABLE|0|3
002015|radiosondeCompleteness|long|RADIOSONDE COMPLETENESS|CODETABLE|0|0|4|CODE TABLE|0|2
002016|radiosondeConfiguration|long|RADIOSONDE CONFIGURATION|FLAGTABLE|0|0|5|FLAG TABLE|0|2
002019|satelliteInstruments|long|SATELLITE INSTRUMENTS|CODETABLE|0|0|11|CODE TABLE|0|4
