/* accessors compare */
GRIB_VALUE_MISMATCH                 Value mismatch
GRIB_DOUBLE_VALUE_MISMATCH          double values are different
GRIB_LONG_VALUE_MISMATCH            long values are different
GRIB_BYTE_VALUE_MISMATCH            byte values are different
GRIB_STRING_VALUE_MISMATCH          string values are different
GRIB_OFFSET_MISMATCH                Offset mismatch
GRIB_COUNT_MISMATCH                 Count mismatch
GRIB_NAME_MISMATCH                  Name mismatch
GRIB_TYPE_MISMATCH                  Type mismatch
GRIB_TYPE_AND_VALUE_MISMATCH        Type and value mismatch
GRIB_UNABLE_TO_COMPARE_ACCESSORS    Unable to compare accessors
GRIB_UNABLE_TO_RESET_ITERATOR       Unable to reset iterator
GRIB_ASSERTION_FAILURE              Assertion failure
